30000 30000
18545 21691 5190
2391 24219 25035
23943 27520 13087
17900 25722 10061
28561 29151 27006
24493 16547 16860
1235 26643 9024
21855 10887 23037
9105 27626 2503
1699 13456 6373
6279 20921 13049
23567 3253 667
8894 10000 3340
29836 17799 17264
16734 5327 20613
3427 16084 1126
2465 17719 1733
16612 8986 14399
4367 28791 7792
7576 29093 29353
16152 21615 6307
22956 4387 22009
12482 26003 25009
7461 4021 6934
18479 26048 19645
16182 13253 15494
2447 18818 2625
8598 15106 24748
11836 23964 19788
19155 14102 4817
20322 26707 26694
22819 19068 25501
23997 22908 7698
8486 4103 22888
7091 9747 12251
6254 21749 27477
23231 17056 8814
24400 15969 13159
16356 12681 29743
2683 1532 6769
6852 11759 24477
29327 1174 12381
4211 11827 26823
1450 26826 8518
7169 26784 20323
23549 12905 6588
18577 24517 10734
9910 9483 15924
7218 16101 16665
5314 24738 17063
6520 8771 11292
28313 20298 6467
23896 22519 28744
725 25443 29001
17859 5110 3288
14128 4694 11275
27094 13834 18205
16498 19355 24876
18334 4992 23444
25269 25069 26959
12564 14626 23091
14693 14194 24745
6366 29926 14830
6646 20892 19615
29929 21144 13749
13189 12189 6673
19962 22600 8196
20405 9097 28974
24712 26310 7455
21149 26791 4894
27773 17527 3089
10101 8584 5509
7246 24548 20330
15224 24859 26170
5526 14173 27634
19172 21194 25541
23692 28754 15253
18830 15919 607
10709 206 7781
27737 5810 8262
28356 6566 1793
14461 17038 28395
16302 15000 8398
8797 27712 6690
3695 24949 27593
16948 11404 12830
201 20497 14438
5235 13771 23346
17321 16103 7632
24160 4787 3627
25813 25825 7275
28910 25150 14637
12371 28972 2411
7203 13947 9712
25950 11182 13366
26850 4402 8007
5243 3631 11542
23697 28293 260
28723 7894 24040
9450 23953 27311
21787 20240 24297
2902 27304 18017
7855 9701 3036
23618 8719 5979
435 8319 9073
16771 8073 9743
27396 14348 8728
27540 21898 12309
29269 12546 2463
2835 25717 17540
12466 22772 1504
20230 27511 2871
18838 2678 28192
12911 24967 1075
27376 15824 10018
29379 19172 20570
20485 6742 722
13645 24377 26505
2977 29394 4281
12310 24101 7450
7227 29004 18250
27257 4779 19507
10133 6111 22401
1679 29916 29804
12940 24554 20159
18192 22960 29401
3636 27205 22439
2562 5927 20047
27097 611 18309
24928 6926 19727
1085 12138 3507
1004 16216 12777
9971 709 5662
12148 20914 11722
20657 3710 29537
4263 22570 27717
24619 5926 19207
24089 10928 4810
10504 7505 23698
26924 10684 28430
26249 17117 21385
17818 25497 13224
12040 6357 24583
23886 17370 10872
7176 27861 13045
23164 3258 14175
28878 23223 22595
5737 24414 21854
4943 19182 10802
12372 4709 905
26971 25143 2707
14056 11451 13058
24440 6073 11157
3092 26148 7660
17007 12603 19469
5306 5214 18407
27111 9301 16957
18186 22088 28444
13731 23974 407
10230 12942 10714
23088 23145 25870
26965 11300 15904
9350 7243 22869
3759 22056 3062
16458 17811 1872
25102 21472 7914
18182 26319 9975
13303 9376 20294
25965 18549 27327
7085 14718 25329
25509 10358 5043
25327 12879 23632
3370 17504 28570
7059 25224 5762
22393 6050 20238
10844 569 667
12900 20182 27003
17823 20516 20151
29054 18615 12416
20181 4041 11668
10760 22998 28408
15714 21547 7108
16246 24670 14808
15931 18499 24200
24270 24034 141
8957 18073 5884
17248 10606 6651
1057 24922 19017
15001 24696 25588
23964 25238 20608
11410 20077 14177
6483 10161 4549
20223 21434 21553
11812 1711 14524
4822 17651 7280
2709 4402 18050
29308 11256 21310
13016 27416 14426
27467 6673 390
28769 18630 17227
10626 7471 10112
13488 25730 29025
1272 2387 27773
22815 2902 4626
13397 20289 8714
2122 24881 8879
11185 16640 22960
6917 2778 9757
26996 9769 15245
18078 29394 3012
9126 5427 2848
14092 5397 9603
26441 27393 70
29043 6937 118
13870 1354 13902
11460 17157 974
23325 27629 6446
25692 22640 23951
2682 17764 28940
29979 12512 14363
28316 29053 23559
1331 25283 12882
6817 17280 10418
2945 20160 3887
16413 14283 17406
28109 22813 10537
13038 16501 16116
24012 3170 4077
15364 6622 12791
4697 20447 21902
19156 7531 18862
6974 26753 19869
6240 849 8602
7136 8703 10689
24413 6278 9353
23013 29130 19009
17385 19476 12968
24848 14891 10903
22760 26547 28190
3638 10912 25797
13630 10173 28385
28567 7592 25503
1326 9590 18172
28599 14948 3562
10492 11739 4711
4711 24585 16768
8985 24468 22850
25582 4081 29896
13787 21950 25194
3206 29261 1402
4959 23598 11418
17125 1458 3048
14942 24346 9130
12631 27798 19692
24950 21136 11340
14828 13680 18140
20726 24721 20929
2239 2373 28434
27265 27574 18969
11852 10244 18511
24576 2210 13015
4888 5135 17540
15434 24832 2243
13150 15858 22636
17320 11533 13725
21942 29194 24537
15152 20492 2176
20286 10829 7815
11012 29724 21185
1758 23431 8640
29009 29496 2781
25334 7547 4691
27224 18183 7545
19944 5330 1523
11303 25380 25519
23 27022 10804
19595 6374 20387
18582 15566 27240
24902 5433 27642
20527 11443 27180
13780 5992 19234
2280 17386 17779
9285 24334 10233
12911 6400 11625
10966 12526 22729
2971 26282 22857
6264 3779 149
14648 20397 501
25280 25889 9250
24381 113 7806
14785 8575 11878
5560 25669 26631
5501 10898 1343
24145 5203 23823
4498 16089 8457
11578 20487 29501
12311 19904 17153
10219 19074 26780
20947 840 11288
5895 6189 10989
21904 6018 17794
17571 26508 23142
22955 24510 3253
1086 29867 18139
23507 15070 16218
10816 12472 29924
29137 22938 18646
20886 7512 1056
13550 5873 7749
3617 23010 16832
26053 16406 29974
20583 27860 29061
25609 9065 27695
1782 22095 29576
26661 1980 3630
25854 28883 11369
18094 24774 20285
6081 15760 5395
23085 2671 9996
13552 373 12141
6343 11726 17208
26949 22805 15258
26212 24967 3729
15476 20203 11165
29037 29493 27796
22701 22478 2289
12790 9559 4887
15775 12369 6828
22578 7698 10595
18789 21761 25083
4536 1714 9700
19934 11475 18275
20767 21504 19340
6245 14169 16692
17959 12244 11882
20414 5953 28899
8776 5161 22860
28893 24353 7621
22975 7793 19642
17730 27967 11943
14302 12394 6269
3777 4253 6030
10739 10447 8606
27930 26133 23898
11327 1800 29445
2829 20108 21407
23661 5493 14308
22521 23371 2360
5533 8026 17551
23414 5600 25004
6249 28666 16979
28345 26672 14757
17739 29652 28185
29756 19754 23240
6795 8687 28865
13289 11024 16214
7590 9333 9812
3558 3314 10772
18116 6229 18497
14089 25691 9457
10680 12527 24476
2437 28273 20563
14637 17771 4524
2738 21562 24966
3798 29703 20343
2978 3748 17269
28909 24062 29510
4071 2489 26743
20784 19587 13086
1766 8723 28612
4254 13789 7218
7196 22629 26852
25716 22382 5119
9250 8985 27244
3971 4655 28042
13003 14078 22665
17861 3446 10513
24747 9479 24357
5606 7226 4519
10288 11806 20788
22051 14702 21971
10384 21721 22316
27989 769 1829
27910 5690 20702
14934 24070 27920
27624 8507 15178
22701 4043 513
5200 13034 7335
16563 25007 10818
13341 14645 6339
17381 22694 19681
12524 7502 6018
27571 14774 26314
17515 27072 24772
11201 20581 1955
12023 12084 18089
4042 24956 20553
12453 2602 19244
14875 12168 18592
14503 25055 19923
22455 18485 19527
27399 6173 20884
14277 13045 27505
14409 16162 16196
21515 13177 9402
21472 5537 8981
10877 12099 21760
27788 20345 28061
24829 25888 10435
7604 21387 9320
1713 9099 13568
3590 28746 20770
6924 12331 26137
5653 17630 13294
23592 25837 27072
16121 2609 18642
21633 7245 2179
28895 23057 9559
9273 19675 19101
29745 29978 2429
25813 1397 17458
28862 22461 10562
298 14574 13305
5003 29820 20646
7142 23485 11239
23140 28608 5965
10723 13951 13990
17480 9300 29518
13301 8196 7440
6813 17258 7283
28127 10809 7978
26858 18758 16708
18881 28079 13152
7445 5392 21690
15353 10393 4243
27838 19182 20142
17250 29387 20503
7855 21907 25178
2698 25375 5108
8269 20513 4312
16596 23224 28931
1629 4127 20176
19718 8241 29698
13349 2739 4644
1687 24059 2816
18323 28503 24784
17781 28764 11921
6314 12165 16982
8705 6408 9459
6422 24204 19505
29886 15661 12610
10285 5529 25153
9440 11924 21751
26159 24955 28696
22386 16199 28610
20116 24298 19026
15439 16706 26867
1556 19951 2638
21954 11604 12192
1902 19754 17432
6998 26005 12874
5679 19458 29194
28724 12615 21360
7207 14906 10345
7877 27603 1112
13049 23025 8725
15605 27273 24581
15141 20579 6865
9956 12694 1792
29536 27119 27609
1265 21145 25649
3517 2683 17643
4854 5451 13150
23004 8266 21907
23387 209 7971
14451 11299 13248
19656 1641 4929
5909 12078 13624
8369 23350 20953
11646 21226 13962
26964 7626 19223
9596 2578 29618
8072 3061 27421
5631 17072 7928
3223 5686 18936
24321 4607 18696
11711 24606 18347
862 9774 16595
28160 10266 11331
21168 2236 13224
1452 14311 2386
28626 4356 27650
21915 5145 215
25529 20188 18483
1064 16566 8067
24254 23799 7636
15634 23111 16577
27698 15539 22956
18597 4088 15520
28944 26802 28272
12577 29613 23689
17879 23386 15443
16741 22708 6219
8949 11360 24342
22981 4599 11261
21106 13898 2025
4550 1317 15256
4311 6328 5071
9567 13864 13725
13755 21981 27753
11567 14727 9459
2231 9636 2014
23722 7452 16143
17109 29399 22209
898 4783 5332
7232 5523 22679
2806 25169 392
29538 1598 27892
2821 26993 21976
21417 18340 19358
20754 6799 26316
28147 7747 29862
4974 19850 3435
7514 15190 22329
20351 3611 4257
3894 18368 5149
16999 15458 24564
12471 857 1784
1990 27742 29217
22672 10881 27674
6172 29496 3140
13749 24220 19764
27867 29295 7705
5210 24558 15706
22200 24004 16506
20363 23408 24699
16832 8228 3489
21987 5159 18161
8559 23653 21647
26875 19385 14537
6064 696 17286
17093 21359 4313
21119 10170 24060
15864 15292 2389
18985 9079 9173
12286 1777 686
29738 27077 18755
9125 1528 21094
13322 24816 12093
12646 1747 1943
4860 21106 21348
7058 4432 11297
26137 12324 25086
27731 14276 19130
25107 6556 10039
8731 1270 16983
15464 8027 11057
351 14454 8498
27684 20516 19893
12056 17255 16589
16993 24215 919
9079 11107 29289
7071 6705 19202
17237 20403 22624
5018 10325 7215
14306 4594 202
19962 14672 25465
24455 22529 2205
9924 19856 4200
24237 3283 17183
14019 28359 9922
23317 8080 13607
7336 6644 4293
12737 5837 14193
14048 11783 24029
17056 19685 23959
28618 4994 12843
13502 22698 12887
29995 4822 19235
4112 14165 9621
13957 1256 19124
13894 10781 7580
28937 24810 352
26388 18010 13433
16095 9476 12756
24699 23477 4562
16629 276 29911
20571 546 12234
13440 8848 25852
26355 16223 8241
15896 28942 12486
19895 25363 7043
26065 2803 1911
7144 7186 16585
18690 20634 8857
2437 21998 26089
17674 18775 18756
13854 23856 19917
1628 11277 17936
11837 16295 9402
4460 15903 8336
13634 22527 19674
9497 23486 6068
21254 21282 28428
16907 14462 21794
25337 26309 22601
10999 13488 3132
60 22059 12525
1119 27685 4754
6396 16413 13558
29042 19972 4397
6955 25015 25122
3857 5768 1553
12098 304 20642
24634 4327 7628
18723 1453 15678
19601 16727 15582
28588 6942 5302
18148 17603 26120
12520 28094 6961
14090 2711 15552
26629 23891 24539
9764 25841 5001
20079 19759 3883
444 6383 9008
7006 26097 16837
25372 12876 4349
2248 10073 19392
24237 5185 5818
29790 21007 7199
7104 2914 2777
649 25111 19151
1894 25400 6446
22216 15881 5636
14872 26216 6697
25175 18586 1701
4417 23025 8039
7108 14893 23562
20507 9701 21690
24108 18159 591
24937 11561 18187
22011 751 15800
24509 3633 17689
2830 24064 10624
9591 24042 10363
2888 6024 20558
26567 22536 6686
13273 24439 6130
27586 7895 8956
27154 9352 8257
18090 15774 15320
22374 15025 25487
17506 10734 19990
13937 1875 21258
1124 17833 2814
9045 25917 27973
29790 21730 27368
869 26418 21993
17137 28799 21400
27901 29517 15499
9964 29554 1795
24718 23705 25144
15983 13070 9380
27639 4800 26630
4071 14433 14859
16880 6624 13580
1603 5215 6674
28395 27323 14120
1504 19565 9278
13870 13439 28092
8256 25079 26515
27692 483 2160
24592 15692 1385
3633 13114 25932
7370 1879 11623
9681 12511 2687
6238 23692 7184
26375 5122 26355
17319 14844 15385
12142 16329 21586
14589 24734 20579
3247 20739 29724
27029 10887 27191
6057 8530 18621
17550 11795 14528
51 15069 19880
18270 6553 15148
22758 20832 10998
16101 27143 4001
19394 11897 1655
9781 7719 29509
28966 14226 18514
13706 23336 20414
5951 7996 706
5479 23723 17143
15251 22073 13173
6591 26243 19682
21544 26214 27671
29635 29500 15018
17332 6887 2444
17320 23454 19329
1383 29406 18052
11714 15372 9586
19124 20192 2175
27533 15570 20946
28595 7467 10947
13364 20986 25118
25362 7919 7825
10256 29749 22444
5624 8342 15115
29229 25892 11931
9994 14026 19266
13472 17683 25631
18043 20895 8021
22272 8160 26229
5961 24200 6296
14202 12973 10850
23920 3380 20806
22307 7915 7061
28543 5618 28736
6641 28108 401
4678 20505 19640
11550 28029 25049
15325 13786 11953
29222 14425 137
3688 6197 8626
8862 20846 16883
19556 13339 4964
2787 7388 3703
6366 10684 11879
15731 11386 17417
28861 19850 24288
1585 4063 27046
15199 28838 539
9898 3994 16677
24473 25800 20906
16729 10189 28965
28269 22292 24564
25038 21780 4682
5547 10365 29298
15565 10319 3014
3976 23727 26535
20107 12024 25676
23704 11444 18291
18266 334 255
23143 22091 14722
6860 2661 1844
2031 6796 25857
1556 3272 21831
13662 24800 11024
878 7914 26454
16390 26041 29637
21716 29667 5503
24429 27998 28003
21288 14506 28494
29873 27730 25591
21516 9554 24407
523 6644 21048
18419 23500 12296
12094 1267 9446
23431 11784 19043
4822 16031 14249
858 228 8449
23551 765 5914
11735 27219 28918
9262 1796 28657
6097 1251 15163
19546 16332 29680
16962 27706 9590
1417 3157 22214
25173 12996 24198
2095 15975 29724
24702 28977 17826
3662 25100 4388
27314 29234 23311
7321 4923 12921
16247 8223 22961
14960 18150 23277
20891 5606 19190
24304 9310 20928
28079 18922 4032
3883 7573 15246
21730 25698 2310
16558 9662 8499
19227 22093 27862
9931 18286 1573
17604 12055 22035
25654 1558 15729
4723 2523 1222
14829 23109 23734
28768 5484 18881
15254 19434 17313
12998 14288 3260
21432 446 26389
13166 17489 20408
3433 29822 23744
15786 4932 21363
22449 4015 1743
7685 28178 15741
20760 6228 8753
3559 16357 28376
6910 658 18033
29332 20454 27218
7722 7838 29783
19241 26674 29001
20068 903 19538
27682 17008 15210
1171 2727 21169
17694 21484 9687
11429 1609 15135
17293 335 23829
10204 4683 9706
18827 28742 19175
1324 19653 14167
15338 25415 9747
28829 25298 23414
11335 18948 4105
1895 16154 13391
22819 12276 16121
16505 3943 14961
5140 5009 2750
2511 16383 17664
15156 3517 3363
20739 4268 6849
4925 8951 29669
636 10771 13081
1359 20016 4959
28032 27607 4753
5706 25415 26676
21902 19198 2767
22337 5826 23163
17544 18714 23123
10769 5114 28268
2687 17106 22518
13375 21858 22559
14494 1973 17442
24952 10501 8850
15190 6763 1017
8017 28587 10899
23104 29073 3753
1073 6690 21214
10194 28267 1467
20870 1844 16550
21751 29036 26602
26454 13171 7335
48 21139 11509
2429 13736 15844
23306 11859 22401
4665 23565 2016
7912 5324 22878
21533 4172 21586
10672 27705 2740
2071 12165 23947
10493 28701 8841
16948 24851 7753
11418 13327 23623
21116 27036 29398
11890 9902 16476
19535 5861 24181
12178 12090 22539
19569 4453 16391
8787 25156 14196
5581 5112 8564
20284 12312 14824
218 29509 8930
21906 22354 8596
28008 25893 3890
10583 1443 27979
10244 28397 3498
19533 19474 15883
17017 29712 9550
26369 27461 1732
23886 6970 2907
4161 5714 19034
14498 9149 25042
5700 29591 24998
13094 24605 489
24184 1333 7144
3775 8949 12248
13335 11243 15458
18660 23599 22420
11827 6390 15454
26205 28415 26669
10014 8224 10968
18496 6500 657
27610 27452 21320
11116 8196 3705
20453 4264 15931
5972 22005 2481
10428 10020 6824
14939 8113 1382
23645 1412 28356
26861 23244 225
1215 23742 13897
17575 10305 10270
4380 16774 5455
13461 27419 8824
22109 8152 18678
23873 24612 24783
5538 28466 5509
18310 2120 499
5351 2042 25220
13674 4747 22544
3805 23178 14705
12840 19908 3859
12975 22165 10648
18512 5018 25829
19560 29502 12842
24377 20161 5774
9625 16134 28664
10493 23373 19315
2813 25458 16277
18475 2931 21896
10765 9681 21104
7040 15626 28314
14892 7451 11608
19911 11994 6498
29350 28961 20829
18792 16565 8151
13328 4319 4567
3885 25865 25640
12302 28568 5203
2851 15931 15413
6340 10321 5691
22588 3054 12311
5852 22553 26964
14501 13138 3354
29754 1593 24875
16242 9460 5042
9409 25008 24933
29040 15906 3459
4093 4973 2670
9099 2557 8095
23439 7441 2447
22093 15460 6777
2907 28935 1572
14521 24396 17107
27586 13141 26720
12239 8644 4309
1258 13667 19274
5851 19916 8301
3798 28212 13758
15825 11268 5431
4074 19263 22605
8042 20953 2015
4213 25322 11108
23526 2575 401
5601 26495 27865
18843 9185 6211
190 23114 16405
2243 23934 28195
14080 12279 14447
14490 22560 28612
5983 28484 11867
124 12383 24220
5584 8699 22378
28362 9472 1007
3324 1894 10073
13793 11478 26210
16512 21182 22134
19837 15308 4952
25923 4982 1597
18438 8202 21366
20046 18933 24208
29681 8714 10996
28172 528 7363
1807 14018 3454
12841 28674 11728
8946 13079 12026
23883 11125 3194
21874 11568 20524
15757 21784 21013
6247 3530 259
9656 12797 8909
25117 19587 23138
17476 5123 14703
23129 23193 7679
1909 5827 22241
28166 6503 7757
9816 13523 8794
3385 11955 26830
17425 18036 23282
8911 9222 20833
26525 3542 13584
13230 10328 1230
11765 10703 15646
25889 10739 26110
7312 25926 17293
26534 11888 26601
5905 22141 22721
15316 27320 3489
2631 6871 313
22766 23484 908
1084 17408 14367
14537 3306 18120
1666 4476 10003
5115 24614 16566
4913 29786 17626
29109 21678 1137
12910 28120 26707
7652 29213 23258
5396 15788 14837
10476 17523 6004
16305 26515 16051
17203 16564 24283
17033 2961 4644
884 10523 3534
8172 16311 21724
28754 1776 27000
24155 15164 25965
13693 26505 4532
8901 11099 19899
1795 7976 21703
21871 28578 8144
25482 28346 10901
2504 3711 17593
23443 26936 8807
27194 8672 15198
27570 4242 14846
29667 6544 20045
4888 13937 13955
3177 10042 8895
17127 18281 27240
20604 10419 9062
28454 24480 2764
20498 8972 7323
4445 29955 29962
21804 26764 20122
342 11267 23992
11878 25540 1181
8253 16723 6726
19273 16401 23707
10842 7307 2671
3678 28463 16186
19929 16348 29208
16134 21662 5857
21631 27837 13591
29499 3782 29056
29739 8558 4661
25205 6432 29648
4505 13977 24520
28187 18950 8555
13211 12270 20395
28153 15435 26653
6891 2369 2535
16767 534 14266
17014 5273 21849
8394 17670 2072
25116 5367 28525
23523 16771 23519
1304 14942 29334
29580 6096 9019
6893 26190 1993
27162 22171 19582
20529 29780 19278
4700 28466 6958
29304 5008 8525
5057 9035 12701
12635 15233 640
16444 14456 13809
4395 8161 22589
17076 24141 11334
4091 17169 24695
7382 29815 16734
13349 22939 20333
15812 12362 23588
29304 22639 19534
7166 20663 24205
21096 9959 3395
26460 8437 17805
18326 29902 10773
3272 8130 9689
18275 23209 11246
17552 13093 10964
17089 21616 26896
23858 19760 17299
29119 11876 1681
4597 2056 15945
10743 18233 26434
7584 5473 10208
14580 13824 7746
10697 25389 8714
9263 13389 498
4754 7591 8504
18517 1016 23952
21696 8575 669
9819 3268 8500
3197 16933 21004
2856 8554 287
16497 13426 14644
28658 5092 27779
16597 5089 6093
17591 23542 26901
576 12549 23569
13197 2852 2600
10365 7870 20480
26888 21876 12273
9976 6967 270
11914 7260 2786
5490 24158 19079
18391 26110 16658
27712 16414 8609
9552 11250 1189
24989 29352 6483
9172 9334 27359
19661 21442 26068
264 20822 10668
23591 9833 4355
18623 11334 5516
13452 14216 28153
2992 28588 23426
26865 25634 3994
28728 8868 18874
15513 26462 9456
27804 1237 24325
8005 8360 29962
17635 23451 2567
29006 8110 29030
24138 6887 27879
5177 3957 24344
615 14346 2428
27992 28737 20409
17355 14590 7283
3988 7431 25237
12730 22246 25188
8069 26374 24701
9821 28553 24966
1930 11498 25176
23446 28496 4879
7226 28201 24284
19793 28466 27904
4815 24701 332
11800 17414 29357
24954 14043 14727
5930 27300 14230
22168 2946 16670
22911 27226 18855
27352 28949 10419
9039 24728 21832
1570 13830 15276
4727 10618 29623
4211 19281 21446
742 19108 9575
4128 18606 14310
23895 27880 18861
773 27793 16795
24639 7327 17120
15608 26376 23004
28038 8227 16270
11435 24240 24277
13667 26822 14663
27055 3094 7336
4155 20919 26052
9609 8394 6277
10795 21315 5608
155 1838 11490
24971 13457 29258
10957 5537 1525
12484 11638 12091
7577 21792 18966
28381 26113 25329
4790 27139 21945
29321 16816 18523
18478 29648 10401
19211 15450 7021
2862 1588 28835
29466 27319 28619
19934 10825 4346
19306 7577 1885
6995 28971 5357
3478 17014 265
17848 3881 9949
9353 8022 12564
7252 9951 14210
5262 14389 28830
4435 19980 7882
17091 8571 5573
2682 9633 11635
12858 28959 22882
18716 6551 3598
27010 15280 7714
25974 2727 27832
21463 609 16975
1892 16124 18741
3510 23170 29076
9729 22232 11425
22136 21103 22740
3724 6396 24139
23914 28380 4209
19916 10438 11469
14735 29512 13745
16306 4140 26327
14840 7894 10315
23318 13590 3043
7932 23642 7989
29783 2868 14749
668 27789 15069
14884 12896 6269
5491 18224 11959
23599 15178 20170
3000 6383 6836
11528 12746 13706
1164 25786 22220
18907 4853 1088
25263 20024 3465
9166 8124 8098
19132 14247 1905
22783 5590 18631
4262 22082 12985
27887 981 23557
21066 25708 14111
27871 15846 19169
38 25949 10618
26270 2702 6180
17828 14856 24640
24259 8976 11547
27542 1719 16702
10970 19930 1604
20192 2147 15173
8776 11268 13701
4617 26128 8392
4104 4636 22593
14666 12508 4370
21253 4054 7474
7136 11257 22991
10660 6297 15746
28480 23849 13702
8206 15369 23631
21008 13664 11529
20070 15768 5484
18860 5870 28540
3194 4906 24139
17681 22077 14955
15358 6150 10287
28603 18537 10730
26236 20017 12574
14412 19815 4069
23209 1552 22796
9700 21632 21251
6303 17944 5882
26860 22773 4836
17753 29759 1415
12373 6250 11772
9287 9900 4026
4500 6075 25478
1856 841 29226
3819 25148 26798
27782 21147 9449
23083 10567 22083
28900 22841 5950
25433 8625 9830
29049 1780 1805
1375 9547 28106
12743 19864 23339
25092 10612 23590
5740 10319 20565
12147 11401 8479
2365 22640 14883
17246 2967 20609
17634 8230 18452
5720 13034 1492
23601 19252 13481
28603 7272 18384
23809 17366 3098
4792 8062 10249
24319 22946 7212
23124 5990 5093
27944 20461 11578
4462 470 23875
24494 7891 1406
14131 27580 24807
21448 10992 15523
26969 25991 18457
27452 1307 21700
14674 8125 12014
10851 3315 24378
23788 16544 28404
16050 7361 29427
28828 4906 26758
8691 22002 10590
25664 5515 28891
2825 19880 28177
29395 8218 16278
4179 23416 3867
28457 6508 16339
27212 3547 24399
21494 14193 4447
8092 29673 29428
667 14422 22177
23309 22119 16023
20162 24425 1543
7831 22519 20892
22129 14398 4001
9827 16426 23153
25040 8400 15642
5437 25140 2898
17658 555 27800
25531 14996 9333
19733 27794 20540
1499 7096 24574
8118 16929 28717
10718 16704 1085
9783 272 27678
3914 28230 11164
967 20791 11889
21020 882 28110
17335 4875 11109
28829 7933 23640
5461 13703 4550
4738 23126 25146
6883 10518 19031
21043 14748 18800
3813 1733 5976
29431 28465 24519
25251 26085 2833
14722 4187 674
29123 3937 14965
15564 5772 24972
24003 27657 23594
4255 10827 21659
20411 13404 28477
14866 5835 25811
6259 26818 20802
7453 3790 29194
29382 5440 22022
17915 29657 9013
10022 14110 13984
22865 17416 12854
20843 19628 23954
28906 27827 4505
10211 27509 18219
23923 27585 4278
886 11534 22269
22817 10776 2401
26906 660 14969
25390 20350 13765
25824 10488 6405
2151 4730 25465
15656 27703 4734
21339 12078 24187
2845 27114 14613
25739 27235 20415
7306 15586 3796
18007 5440 4970
5215 17155 12279
13079 19561 25515
23595 15191 26286
15397 2507 26377
851 13093 22697
19416 3126 23550
26563 9942 2037
14498 24334 18246
3358 23516 15793
14982 13519 15234
29251 8941 21171
2583 24108 19565
22666 21806 18813
25361 2782 4765
4939 12444 3160
28563 23963 23374
8864 27975 913
813 27511 10702
5280 16440 10772
28844 25324 25872
3102 5014 25012
59 23358 22647
5487 1841 14530
24504 21541 5267
10299 1207 18996
21137 5234 12831
23743 13455 17236
12211 9253 18321
11156 14458 14835
6436 1367 29558
11783 1569 27978
9539 10879 11774
13253 1104 11979
2651 27439 27988
15013 12562 22817
24419 4275 22369
3032 13582 8436
19222 23411 16504
15601 17428 16021
13699 19501 20108
17289 16428 20493
24955 13998 27055
1596 8447 17921
10021 15441 21841
13379 25364 27136
6539 22199 7397
7751 15931 13446
29324 6363 26102
25227 23719 4909
15556 11511 21504
15762 13778 15161
16285 5102 27731
23669 26245 3159
10696 23442 7389
21094 5881 23627
12889 18493 7156
4931 23017 24861
16449 22442 29551
29040 20770 13731
22426 12355 22911
7586 17391 7045
3776 21476 3392
17985 4614 2132
3629 19716 25933
9678 17125 7288
18937 19483 2880
8312 14071 28316
9345 9903 1000
15967 29196 24243
12062 14676 29398
13082 11975 18651
12316 8804 8194
26697 16372 4065
17744 1373 300
809 18477 25328
8736 28875 5680
11073 26753 28199
2512 132 15505
18730 2391 10286
8855 25414 2952
18597 11822 21680
7418 17548 22039
2357 12913 28057
24813 10463 1656
335 12516 5314
9917 10284 10325
9741 17148 5819
5643 10741 11349
11181 20609 13461
11474 28956 16675
8449 1943 26353
1669 2779 3007
26221 25117 2672
22951 29650 6878
28656 28863 24695
12339 25934 10494
10380 29774 17052
1279 20200 15076
28512 29264 7494
9007 2952 879
28725 7660 13706
1263 27308 12003
11194 6468 15965
27451 2467 11253
4457 7959 6908
26057 3003 10385
29835 14977 8785
14151 11915 14135
6717 24998 19567
3603 1330 20253
11296 20706 9936
16164 24073 15222
21 4556 17452
23977 11186 8750
724 4649 13654
13404 18258 8709
17531 19866 5474
13382 27558 21218
20199 23479 11256
14778 6603 16111
4326 8577 26221
27058 2861 3516
1399 15071 16607
23825 28900 7064
28013 15413 20727
19951 15177 18392
8474 9573 10656
7140 245 22037
8792 8801 208
13625 25008 28471
2680 23423 10286
29248 23323 18710
8349 20087 18057
23291 18955 6821
3672 4825 18288
16655 24224 17921
13872 13664 29424
18943 22770 21695
25633 7352 168
8452 28484 21498
1319 3490 14634
1333 6113 26108
9490 25013 9593
7827 23356 12357
25080 1516 9675
6990 29607 25223
2461 14639 19507
24523 10172 21042
6082 11553 9976
21993 20903 13233
17634 20424 10717
10615 21867 27941
26569 9007 12870
11046 26990 27798
23715 17416 27233
2676 3639 3632
1192 3258 8796
16473 5229 24228
23422 16384 23410
2233 3566 20665
802 16939 14982
17953 27675 5566
10934 20579 13742
27336 1886 16240
22864 15732 8742
26456 25090 8626
11256 5757 12844
23545 14244 7797
21218 26030 29766
18722 10233 13276
18557 2401 24434
10858 24706 6455
17126 6096 24514
15210 21131 361
10834 18713 22539
6320 14592 9293
480 23750 26266
26695 6646 21109
29947 7352 19122
10485 8135 29453
13656 27647 28641
22567 7450 4696
17916 22779 27979
3472 18480 15596
8295 21544 3121
14009 3053 12320
29611 22387 28402
9595 14134 13293
6650 29112 264
12205 15705 631
23142 12139 29914
8765 5713 4853
5817 27561 19034
1413 5061 10546
15623 5926 16733
25414 24727 5393
19059 14495 1015
4045 17037 1757
21004 7364 24813
17000 6899 26662
14159 1306 9537
1428 10613 13752
12444 26295 8583
16291 3643 16286
25352 13697 12070
21932 24887 12748
16549 13091 16329
25815 4743 9350
14914 7148 27406
14087 24255 6515
18664 27868 20144
734 20417 12246
3089 10665 27175
14076 21236 29919
7076 1244 13414
13812 23566 24695
12194 3293 11101
2103 17737 28089
26617 24366 14769
25439 2772 29389
12899 18603 28901
14429 23646 12669
29509 10284 4613
3098 18043 21054
25222 9250 24251
